:START_ID,:END_ID,:TYPE
obj_1e78f83802082ac1dfa4aef4ef0b670c,obj_ccf92b644a92663d4d0bc42f3804974b,PART_OF
obj_e3e694d871ab1a6635ea50a7154dcbdb,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_085d029287cca92b11734547fe201221,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_11b2d63ea176a2b87191c1e903fccf70,obj_085d029287cca92b11734547fe201221,PART_OF
obj_dc710ab2e0d6cd527cea52522b933885,obj_085d029287cca92b11734547fe201221,PART_OF
obj_30bf7da142b7d2af8dba5ab607a0c349,obj_085d029287cca92b11734547fe201221,PART_OF
obj_e54a940f0ca3ce3b6c5e0411304b6b93,obj_085d029287cca92b11734547fe201221,PART_OF
obj_38ea81b1d12d9b52ba2b9c77beb647ba,obj_085d029287cca92b11734547fe201221,PART_OF
obj_9d40bd7ae1462cdd1629850ed49083bd,obj_085d029287cca92b11734547fe201221,PART_OF
obj_d8c036fbdcfe321b5813ecabd1a71b8e,obj_085d029287cca92b11734547fe201221,PART_OF
obj_119ed8982108483b62b7b2c13b55b0e4,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5610d34fb50977490bcda9eb67c51595,obj_085d029287cca92b11734547fe201221,PART_OF
obj_3fede2e8a70ee03500f343c9006f0f0e,obj_085d029287cca92b11734547fe201221,PART_OF
obj_1492ad2fc9072e0d5084e0077d90bcc2,obj_085d029287cca92b11734547fe201221,PART_OF
obj_a20a431a2dc2fd82d1383f68611a3de0,obj_085d029287cca92b11734547fe201221,PART_OF
obj_7905b57e4bfacdafd2ded2f30c9e004a,obj_085d029287cca92b11734547fe201221,PART_OF
obj_dcd715e7e1ad9b6adf6908cef8dfcaf1,obj_085d029287cca92b11734547fe201221,PART_OF
obj_8dad7db97aba216b1b04dc652751e1c9,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5f95ed3122723647201944347cd7138f,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5436fb4960f6a505257f9024b222227f,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5436fb4960f6a505257f9024b222227f,obj_085d029287cca92b11734547fe201221,ISOLATED_BY
obj_a15292af362152358f397142b94587a3,obj_085d029287cca92b11734547fe201221,PART_OF
obj_a15292af362152358f397142b94587a3,obj_085d029287cca92b11734547fe201221,ISOLATED_BY
obj_b8c8aa6466bf0d4bcea7028175226bb4,obj_085d029287cca92b11734547fe201221,PART_OF
obj_b8c8aa6466bf0d4bcea7028175226bb4,obj_085d029287cca92b11734547fe201221,ISOLATED_BY
obj_0bf89e75b9fd3b30b77c5228ccdc484a,obj_085d029287cca92b11734547fe201221,PART_OF
obj_0bf89e75b9fd3b30b77c5228ccdc484a,obj_085d029287cca92b11734547fe201221,ISOLATED_BY
obj_db9d68ca6b96cbd442c404db5831d833,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_97fadbcf986d4e16c55fa8f7c9a6e988,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_a4aee1e97d3c1e57d866fd1c566bed1c,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_3382873fff759c6c0a26fd7e36f7a91d,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_d26d5fbdda0654ee3b44d2887e983bae,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_b95173574d8337a01adacaa72398489b,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_f9a738c1525e9a9c89f6bb9343b2f0f4,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_838b7cf1f2e243e59acd3d2c813563a0,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_86d06ec11e2149c21528ed5dca07e401,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_1d9f147375610026a600da7bd1d1703b,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_602d18010a039130742d74d4f508a767,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_79b915f4ecc0cff8c1dbd112e9a0f04e,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_fd078a1cec0885f2370a6ecd0ae6f124,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_ece9c858080e26fbdadc557953285c8b,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_ece9c858080e26fbdadc557953285c8b,obj_db9d68ca6b96cbd442c404db5831d833,ISOLATED_BY
obj_c50d4170b264d21fb10aeb4fcb8aa3f5,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_c50d4170b264d21fb10aeb4fcb8aa3f5,obj_db9d68ca6b96cbd442c404db5831d833,ISOLATED_BY
obj_9c5a3a56814296558a90dea0041be894,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_9c5a3a56814296558a90dea0041be894,obj_db9d68ca6b96cbd442c404db5831d833,ISOLATED_BY
obj_05605f08a60d8939eff3ef743f0d7a1a,obj_db9d68ca6b96cbd442c404db5831d833,PART_OF
obj_05605f08a60d8939eff3ef743f0d7a1a,obj_db9d68ca6b96cbd442c404db5831d833,ISOLATED_BY
obj_8745dea8547ed3a097ba30ec96342f98,obj_085d029287cca92b11734547fe201221,DOWNSTREAM_OF
obj_8745dea8547ed3a097ba30ec96342f98,obj_085d029287cca92b11734547fe201221,CONNECTED_TO
obj_8745dea8547ed3a097ba30ec96342f98,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_dad2df050a4f6d8bc8e49f0d3c1c1346,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_ec4044d3bb8a51e382d03e51c1c342b3,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_084220f613f6a35c1120af420db35ec5,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_70f654f21a9d633ae7e2e300823d9d02,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_997cc9fb1f5b4cf778da43f055d84bc0,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_73fdfdafe3aa261da2809d71a245edf3,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_caa235c89547589394aa6207f368e029,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_db662818e5ee34f6d60bc97e51acb3cc,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_c7cfff2c6192f8dd42a4fe36ff56139f,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_efa66d80926599bfa00fd67446e40767,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_1dd7e4aa5cc01f1d5863bc72ea4c04d3,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_710832f1f6cbbfcfb4f28d5a3fadc143,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_42cdb75a104cc77764f475124c7f60f2,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_6a9a93560c7214c66037ec66c0ec431c,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_e8bccda8690c1ccff28fae3f31281f9a,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_2fc55d32b477ddefa5ca543a71a4f8ae,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_d4ebd6c20d62bab13d9dd2f45a8c6b2c,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_a42ef2f02823aff55d2179db1db86285,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_e69a06c24a2203e3470640f653123fc5,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_0969b8fc8a7dd154cdf5544f65d673a3,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_96f2f62509e5a1f658c6d76bb7b53b59,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_87f7d061ce843b65ec7c91c272946ef1,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_36be43d1f6d3f1583dbda0f9533638aa,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_bfa15f6af90427b45639127881e9e456,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_5836fcdd7f99fbc97dc184fa3ea6421b,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_e8bfb51f27de8ce50c50f44b58ec9f9e,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_e8bfb51f27de8ce50c50f44b58ec9f9e,obj_caa235c89547589394aa6207f368e029,ISOLATED_BY
obj_9873a143029052739bfc6aa51b6981d8,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_9873a143029052739bfc6aa51b6981d8,obj_caa235c89547589394aa6207f368e029,ISOLATED_BY
obj_378ecf02f6cd7626f3db4e9881fb3639,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_378ecf02f6cd7626f3db4e9881fb3639,obj_caa235c89547589394aa6207f368e029,ISOLATED_BY
obj_c131576b9bee4efda6ebca6ebefdc81b,obj_caa235c89547589394aa6207f368e029,PART_OF
obj_c131576b9bee4efda6ebca6ebefdc81b,obj_caa235c89547589394aa6207f368e029,ISOLATED_BY
obj_1417bd2c1ad4dc152769c8590d479cbf,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_f52b3241322cc0b8b7c25329e4d76d59,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_c855c790bc72aa0038a6efd5db89dc81,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_d30011592de092bbf75a5608ae700a6a,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_61c63645babbfa8b795516ab6b8ef5d2,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_366db97f57978422f2912a97dd655667,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_765f70476ea720c74e7d2950cf8b64a6,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_5d073edfe4e33bfe2c9acbd44b57b1d7,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_e34e2c3308aab5fe2cd0917790d07d63,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_fefda1d853bd60d277f0594f5f9a0509,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_fefda1d853bd60d277f0594f5f9a0509,obj_1417bd2c1ad4dc152769c8590d479cbf,ISOLATED_BY
obj_8f0582c02ab7b06af711446b72267b75,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_8f0582c02ab7b06af711446b72267b75,obj_1417bd2c1ad4dc152769c8590d479cbf,ISOLATED_BY
obj_22cdcc1224b5fb3b2b13ae293b7cba32,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_22cdcc1224b5fb3b2b13ae293b7cba32,obj_1417bd2c1ad4dc152769c8590d479cbf,ISOLATED_BY
obj_2f793a8169979ddaf6ffbd0eb600796c,obj_1417bd2c1ad4dc152769c8590d479cbf,PART_OF
obj_2f793a8169979ddaf6ffbd0eb600796c,obj_1417bd2c1ad4dc152769c8590d479cbf,ISOLATED_BY
obj_81dff8556c233e8c05eab6c404b5ec53,obj_caa235c89547589394aa6207f368e029,DOWNSTREAM_OF
obj_81dff8556c233e8c05eab6c404b5ec53,obj_caa235c89547589394aa6207f368e029,CONNECTED_TO
obj_81dff8556c233e8c05eab6c404b5ec53,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_6b4674df97204cfe0f211b5fa710dd82,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_c10ca15ad0bd7db5941b8deaed87cbd0,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_0952e45b8c7212a2017adec9b1ed28b0,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_b7f957c244cd5691d052a7cf992f8a8e,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_51ce5c2e1831ed1397c397939bb1cf40,obj_73fdfdafe3aa261da2809d71a245edf3,PART_OF
obj_64f71bc6b83fde4a017f1594c2bd259f,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_02b6cc579e4c74779f4472cdc5761406,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_ea9cd2057168282731933587122e1603,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_04c7b5190135789768e298e5b500f393,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_3c1a5d23a4e7ab2fea4711ea7fb22f4b,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_aa3505955368f6e572f74fdb9f8b7c09,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_2f5849776819890528c5154d0ee747f4,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_5402c3ee5033f49e91550a3b52a5be3a,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_1e130b90c7492cd16bf3964065fbb8d6,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_9f8d7f354ca29cfb4e4de13193c0a681,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_df7d008c5f2e9cf87ba33b504250b754,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_a8b7dcf9df33e8d59d178f32dd4bb624,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_baf95cd4eea1c346722cefd317761215,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_c97cbb5725e680676e0e8ab96f465cbb,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_a833a06475111b04bafaffeba0f844d8,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_c578da168378643e58cf96c95ac46727,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_60a84b143fd6b8cb6706ba2839412666,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_291ad9bb143d4a7b781449640ee3f554,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_3fcb5e67cd27e052dee5a175fb32708c,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_f5dc6733312d592256a32551fd3abb3a,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_7110d4217db8ed521921047279bc12d5,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_31c3122caf0cb405773881747e8e8954,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_5185a98702f5f050748a196675971ac2,obj_ccf92b644a92663d4d0bc42f3804974b,PART_OF
obj_c8d57ed6ed1f445a99537612a6b27d92,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_1c2cc018744246a653e815a7fb2c6643,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_c1d25c865cee0e3aa53678a43f727768,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_dceae650d2fbd38a9836f37bc1305f94,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_864b02e3400118245f6292f612d217cb,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_0e79408d512f0cf9d7a32b2b3575088e,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_ce3f72330a2cacfb736036f63a0d671f,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_9790fce8efb1ffeb33830ed48c13396f,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_9626c34524e7b8a3f492a7c5fc4b92b2,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_50142298760a3010871aeed56968d73b,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_d716e5b28f75dfd9df6e97f3a1b93755,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_97d78760f0fd104ce1dc73cbc96e9607,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_53f9f2cdc4c5d8aee03eb9414eb12615,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_53f9f2cdc4c5d8aee03eb9414eb12615,obj_1c2cc018744246a653e815a7fb2c6643,ISOLATED_BY
obj_f17326a7daced0f3393d1a2ed823d07d,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_f17326a7daced0f3393d1a2ed823d07d,obj_1c2cc018744246a653e815a7fb2c6643,ISOLATED_BY
obj_ff36580ffa3898252569cc5dcf7ab41c,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_ff36580ffa3898252569cc5dcf7ab41c,obj_1c2cc018744246a653e815a7fb2c6643,ISOLATED_BY
obj_dd2422f782a6d9ef54977d4658ef3143,obj_1c2cc018744246a653e815a7fb2c6643,PART_OF
obj_dd2422f782a6d9ef54977d4658ef3143,obj_1c2cc018744246a653e815a7fb2c6643,ISOLATED_BY
obj_248473b1701214ffc33c8c3c73749875,obj_1c2cc018744246a653e815a7fb2c6643,DOWNSTREAM_OF
obj_248473b1701214ffc33c8c3c73749875,obj_1c2cc018744246a653e815a7fb2c6643,CONNECTED_TO
obj_248473b1701214ffc33c8c3c73749875,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_76d6989818ef6cc3de0136598bd1d29d,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_88713524490c8ce82e2cd501a9f030f9,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_4a7c77187e0a450f0d49eaf5875a9d38,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_82c289e3c60737d674cf03f48acb2179,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_4f5d16986e7e41bb347656be95e3874f,obj_c8d57ed6ed1f445a99537612a6b27d92,PART_OF
obj_9c2a193af2fd80fde4cc57135e18b15d,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_9160606ebac7da3020c5b848cf3eae78,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_46f105637d02a143ba18ed1805502640,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_c101894a4c26d29137b61fd334c4eca9,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_53fe1446e5e2b0d7ac6f73104c0e2c64,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_70b0844d72cf037c1a8dddfc2d9313aa,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_dc72617427c9eb645b9ed98d9e525658,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_2a89cea83d7e002ba658e9f13a12d00b,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_ec4b9d20be3cb772f76e41703cf057a8,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_d7e639006fe2b8e4e997b209030db212,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_4352843cd86096dc6c34d3e1ac3f6d24,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_d3075f3e16019ca95cebe0934fc10f00,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_ab16a4640d9b10cda2761ef768241bf4,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_35b1051d2878baf381e5164f5d3d6039,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_13fe6314f214fb847d86e854d8abf9be,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_46e2323d0abdf46a3b958d893afc4d1c,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_f8fe0e584302ab0d2869c5fd38c5932c,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_68b65aa8e8d2df61fe46c32c9ac92813,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_1febca3ebdec3624124e97f6136ded92,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_b64e46063de49e7655059eb2ae143103,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_fd916d14c2cfdfffe0b0bd8f237200d1,obj_5185a98702f5f050748a196675971ac2,PART_OF
obj_20a032ec6b469a1afeb68da660a7445a,obj_5185a98702f5f050748a196675971ac2,PART_OF
